Khu vực,Địa chỉ,Tên đơn vị,Quận/Huyện,Địa chỉ đầy đủ,Mã BĐS,Tiêu đề,Khoảng cách,Giá (tỷ)
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",22507482,"Bán gấp cc Melody Quận Tân Phú Diện tích 73m2, 2pn, full nội thất SHR",6.163911,1.23
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Khuông Việt, Phường Phú Trung, Quận Tân Phú, TPHCM",22507308,"Chính chủ bán căn hộ 341/13A Khuông Việt, P.Phú Trung, Q.Tân Phú SHR",6.096992,1.51
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường DC13, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22507309,"🌲Cần bán căn hộ Sơn Kỳ 1 tại Q.Tân Phú, TP. Hồ Chí Minh DT:66m2 2PN",6.41266,1.46
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22504797,Sổ hồng chính chủ bán CC Khang Phú Tân Phú giá 1 tỷ 650 triệu/DT:78m2,5.564538,1.65
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",22504806,Chuyển công tác bán nhanh CH An Gia Garden T.Phú 1 tỷ 470 triệu/53m2,6.367599,1.47
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",22504810,Làm ăn khó khăn bán lẹ CH Oriental Plaza T.Phú DT:79m2 1 tỷ 635 triệu,5.866447,1.635
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, TPHCM",22506348,"căn hộ An Bình, Luỹ Bán Bích giá 1 tỷ 430 full NT",5.532122,1.43
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",22506336,"Bán gấp Melody Âu Cơ, 70m2 view thoáng mát giá 2 tỷ 730",5.203786,2.73
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lũy Bán Bích, Phường Phú Thọ Hòa, Quận Tân Phú, TPHCM",22506323,Bán gấp căn hô Sacomreal 584 Lũy Bán Bích Q. Tân Phú giá rẻ.,4.801123,2.55
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Hòa Bình, Phường Tân Thới Hòa, Quận Tân Phú, TPHCM",22506312,"Bán gấp chung cư Sacomreal Hòa Bình, Q. Tân Phú giá rẻ 3 tỷ 5",3.459398,3.5
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trương Vĩnh Ký, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",22504780,Được giá bán luôn căn CC Gò Dầu 2 T.Phú chỉ 1 tỷ 350 triệu TL chủ ngay,6.138112,1.35
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Võ Công Tồn, Phường Tân Quý, Quận Tân Phú, TPHCM",22504790,Chủ nhà kẹt tiền cần bán CH CC Nhiêu Lộc C T.Phú 1 tỷ 065 triệu 62.4m2,6.481737,1.065
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Tân Hương, Phường Tân Quý, Quận Tân Phú, TPHCM",22504820,Con đi du học cần bán CH Khang Gia Tân Hương TP giá 1 tỷ 245 triệu TL,5.93626,1.245
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trần Đình Trọng, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22504815,Cần bán nhanh trong tháng CH Valeo Đầm Sen TP chỉ 1 tỷ 750 triệu SHR,6.068214,1.75
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường DC13, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22504786,Bán cắt lỗ căn CC Sơn Kỳ 1 T.Phú 1 tỷ 535 triệu/DT:62.50m bao sang tên,5.304604,1.535
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22505452,Đã có sổ hồng CH CC Khang Phú Tân Phú chỉ 1 tỷ 370 triệu DT:74m2 SHR,5.217264,1.37
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",22506286,"ĐẦU TƯ KINH DOANH, bán CHCC RICHSTAR, TP 65m2 giá chỉ còn 2,34 tỷ",5.181128,2.34
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lương Minh Nguyệt, Phường Tân Thới Hòa, Quận Tân Phú, TPHCM",22506296,"NGỘP BANK bán nhanh CH 1PN CARILLON 7, TP 49m2 giá mềm 1,05 tỷ",6.562345,1.05
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22521207,"Chỉ 5.8tỷ-3PN Diamond Alnata Plus-Celadon,view ĐL Gamuda,ngay tháp TT",2.930074,5.8
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22504618,"Vỡ nợ bán gấp căn hộ Carillon 2, Tân Phú giá 1 tỷ 800 căn 91m2",5.819792,1.8
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",22506417,"Bán căn hộ Richstar Novaland - 239 Hòa Bình, Q. Tân Phú Trả trước 1 Tỷ",3.895751,2.25
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22506420,TÂN PHÚ. GIÁ : 1 TỶ 850 - Chính chủ cần bán gấp căn hộ chung cư TOPAZ,5.878127,1.58
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trần Đình Trọng, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22506422,"KHẨN CẤP BÁN CHCC Valeo SHR 2PN2WC 76m² đầy đủ, trung tâm Q. TP",4.956305,2.35
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",22506441,"Bán Gấp căn hộ Oriental Plaza tại 685 Âu Cơ , Tân Thành, Quận Tân Phú",4.783455,2.08
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",22506439,"BÁN CHCC ORIENTAL PLAZA - 78m2 2PN, 2WC. GIÁ BÁN: 2.78 TỶ pháp lý chẩn",4.435304,2.78
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22506435,"Cần bán căn góc Chung Cư Lotus Garden, 2 phòng ngủ, 2 toilet, nhà mới",4.027211,2.75
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22506432,Mình cần bán CH Lotus Garden Trịnh Đình Thảo Q.Tân Phú - Đã có sổ hồng,4.961867,1.52
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22506430,Bán căn hộ IDICO tân phú * DT : 63m2 thiết kế 2PN và 2 toillet2Ty120,5.439184,2.12
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22506428,CÓ BÁN chung cư CELADON City - Ngay AEON mall Tân Phú + 2PN 2WC 68M2,3.987692,2.62
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22506426,[ BÁN ] Căn Hộ Celadon City Emerald Kế Aeon Mall Tân Phú. 84m² 2PN +,6.055239,1.24
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22506425,"Chung cư Carillon 5 - 70m2, 2PN, 2WC - Vào ở ngay chỉ từ 1ty",4.198633,2.95
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22506424,[ BÁN ] Căn Hộ Celadon City Khu Ruby Kế Aeon Mall Tân Phú. 71m² 2PN,4.736247,2.72
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22506423,[ BÁN ] Căn Hộ Celadon City Khu Emerald Kế Aeon Mall Tân Phú. 63m² 2,5.292387,2.45
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lê Sát, Phường Tân Quý, Quận Tân Phú, TPHCM",22504544,"Bán gấp nhà đường Lê Sát, Tân Quý, Tân Phú chỉ 1 tỷ 250 triệu 40m2",6.195486,1.25
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",22504127,Bán Căn Hộ Richstar RS4 2PN 65m2 1tỷ750 Full Nội Thất Hợp Đồng Mua Bán,6.222138,1.75
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",22504366,BÁN CH [AN GIA GARDEN - TÂN PHÚ] - 295 Tân kì Tân Quý Diện tích: 50m2,5.847883,1.42
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22503194,"HĐMB công chứng nhanh CC Topaz Garden Quận Tân Phú - DT : 75 m2 , 2PN",5.561886,1.825
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, TPHCM",22494232,"Chính chủ bán CH Res Green 2PN 60m Sổ hồng rồi giá 3,62 tỷ hỗ trợ vay",4.244931,3.62
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22494103,"Chính chủ bán CH Khang phú 74m 2PN Sổ hồng rồi giá 2,28 tỷ",5.127582,2.28
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22489220,"Bán căn hộ Khang Phú 2pn, 74m2, có bancon phòng khách, giá bán 2 tỉ 3",4.679713,2.3
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22508147,"Chính chủ bán CH Khang phú 70m 2PN Sổ hồng rồi giá tốt 2,3 tỷ",5.2575,2.3
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22499456,"Bán căn hộ Topaz Garden Tân Phú 2pn, dt 63m2, giá 2 tỉ 140tr",5.628162,2.139
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22514299,"Cần bán chung cư IDICO Tân Phú 58m 2PN 2WC giá 1,89 tỷ có bancon",5.779056,1.89
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22514327,"Chính chủ cần bán CH Khang phú 70m 2PN Sổ hồng rồi giá 2,3 tỷ",4.592478,2.3
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",22514680,"Bán căn hộ Oriental Plaza 2pn. đã có sổ hồng, giá 3 tỉ 350tr, lầu cao",4.023555,3.35
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22510781,"Cần tiền bán căn hộ Lotus Garden ( sen xanh ) 1PN 50m giá 1,95 tỷ",4.648928,1.949
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22495420,"Chính chủ bán CH Topaz Garden 63m 2PN nhà mới thoáng mát giá 2,1 tỷ",4.622915,2.1
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",22498182,"Cần bán căn hộ Babylon 1pn đã có sổ hồng. Diện tích 53m2, giá bán 2 tỉ",4.576419,2.06
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22499335,"Cần bán căn hộ Lotus Garden 2pn đã có sổ giá 2 tỉ 4, lầu cao thoáng",4.362843,2.399
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22492080,"Cần bán căn hộ Toapz Garden Tân Phú 2pn có dt 63m2, giá 2 tỉ 080tr",5.089305,2.079
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22486277,"Bán gấp căn hộ Khang Phú 74m2, 2 phòng ngủ giá 2 tỉ 350tr, đã có sổ",4.511494,2.35
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22487989,"Bán căn hộ Topaz Garden Tân Phú 63m2, 2pn, 2 tỉ 180tr",5.603577,2.18
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22488318,"Bán chung cư Lotus Garden Quận Tân Phú 75m 3PN Sổ hồng giá 2,72 tỷ",4.53548,2.72
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",22488386,Bán chung cư Babylon 49m 1PN Sổ hồng rồi - hỗ trợ vay,5.11908,2.05
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22491548,"Bán chung cư Carillon 5 Quận Tân Phú sổ hồng rồi 70m 2PN giá 2,86 tỷ",4.215601,2.86
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lũy Bán Bích, Phường Phú Thọ Hòa, Quận Tân Phú, TPHCM",22490653,"Bán chung cư Sacomreal 584 Sổ hồng rồi 75m 2PN giá 2,33 tỷ",4.654378,2.329
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22491977,"Chính chủ bán CH Topaz Garden 63m 2PN giá 2,12 tỷ - hỗ trợ vay 70%",4.955094,2.12
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",22492127,"Căn hộ Oriental Plaza Tân Phú cần bán. 78m2, 2 phòng ngủ giá 2 tỉ 850",4.993453,2.85
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22492091,"Cần bán căn hộ Topaz Garden Tân Phú 2pn có diện tích 63m2, giá 2 tỉ 08",5.893523,2.08
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Tân Thành, Phường Tây Thạnh, Quận Tân Phú, TPHCM",22503063,"Chung cư TÂY THẠNH, TÂN PHÚ , SÁT AEON TÂN PHÚ DT 71m2, Gia 1ty125",6.141122,1.125
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22503074,"Tin cực hot bán căn hộ CELADON CITY KHU EMERALD, QUẬN TÂN PHÚ 2T065TR",5.653465,2.065
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Lương Minh Nguyệt, Phường Tân Thới Hòa, Quận Tân Phú, TPHCM",22504090,Bán căn 2 phòng ngủ 72m2 Carillon 7 Tân Phú giá tốt 1 tỷ 650 triệu SHR,4.948434,1.65
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",22504087,"Bán CHCC ORIENTAL PLAZA NHÀ SIÊU ĐẸP Tân Phú, Thành phố Hồ Chí Minh",5.611298,1.835
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22504094,Cần bán gấp chung cư CELADON CITY RUBY Diện tích: 82 m2 3PN2WC 1T880TR,4.570006,1.88
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trần Đình Trọng, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22503928,"Bán nhanh căn hộ Valeo Đầm Sen,trung tâm Q. Tân Phú 76m2 đã có sổ hồng",5.017365,1.625
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22503067,Bán GẤP CH Celedon City Khu Emerald tại Phường Sơn Kỳ Quận Tân Phú. ⚪️,4.785628,1.83
